Task_Number,Device_ID,Workload_Type,Source_Node,Destination_Node,Destination_Layer,Offloading_Path,Processing_Time_ms,Communication_ms,Queue_Wait_ms,Total_Latency_ms,Deadline_ms,Deadline_Met
1,D14,Data Analytics,IoT14,Fog1,Fog,IoT -> Fog,37.8,67.0,0.0,104.8,500.0,Yes
2,D5,Data Analytics,IoT5,Fog2,Fog,IoT -> Fog,43.2,41.0,0.0,84.2,500.0,Yes
3,D7,Image Processing,IoT7,Fog3,Fog,IoT -> Fog,37.0,41.0,0.0,78.0,300.0,Yes
4,D18,Data Analytics,IoT18,Edge1,Edge,IoT -> Edge,28.8,29.0,0.0,57.8,500.0,Yes
5,D1,Image Processing,IoT1,Fog1,Fog,IoT -> Fog,56.4,76.0,7.05,139.45,300.0,Yes
6,D8,Video Processing,IoT8,Fog2,Fog,IoT -> Fog,47.8,77.0,5.97,130.77,120.0,No
7,D8,Network Traffic,IoT8,Fog3,Fog,IoT -> Fog,57.6,82.0,7.2,146.8,150.0,Yes
8,D7,Image Processing,IoT7,Fog1,Fog,IoT -> Fog,57.6,76.0,14.4,148.0,300.0,Yes
9,D11,Video Processing,IoT11,Edge2,Edge,IoT -> Edge,56.4,32.0,0.0,88.4,120.0,Yes
10,D15,Data Analytics,IoT15,Edge3,Edge,IoT -> Edge,64.4,35.0,0.0,99.4,500.0,Yes
11,D13,Data Analytics,IoT13,Fog2,Fog,IoT -> Fog,57.2,61.0,14.3,132.5,500.0,Yes
12,D8,Data Analytics,IoT8,Fog3,Fog,IoT -> Fog,43.0,56.0,10.75,109.75,500.0,Yes
13,D16,Image Processing,IoT16,Edge4,Edge,IoT -> Edge,41.6,26.0,0.0,67.6,300.0,Yes
14,D14,Data Analytics,IoT14,Edge5,Edge,IoT -> Edge,36.8,33.0,0.0,69.8,500.0,Yes
15,D6,Data Analytics,IoT6,Cloud1,Cloud,IoT -> Cloud,28.1,96.0,0.0,124.1,500.0,Yes
16,D8,Image Processing,IoT8,Cloud1,Cloud,IoT -> Cloud,27.0,82.0,0.9,109.9,300.0,Yes
17,D3,Image Processing,IoT3,Fog1,Fog,IoT -> Fog,53.0,83.0,19.87,155.87,300.0,Yes
18,D6,Data Analytics,IoT6,Fog2,Fog,IoT -> Fog,49.8,72.0,18.67,140.47,500.0,Yes
19,D8,Network Traffic,IoT8,Edge6,Edge,IoT -> Edge,47.6,49.0,0.0,96.6,150.0,Yes
20,D16,Data Analytics,IoT16,IoT16,IoT,IoT (local),96.0,0.0,0.0,96.0,500.0,Yes
21,D17,Data Analytics,IoT17,Fog1,Fog,IoT -> Fog,51.0,50.0,0.0,101.0,500.0,Yes
22,D12,Network Traffic,IoT12,Fog2,Fog,IoT -> Fog,46.8,76.0,0.0,122.8,150.0,Yes
23,D11,Image Processing,IoT11,Fog3,Fog,IoT -> Fog,24.0,74.0,0.0,98.0,300.0,Yes
24,D20,Video Processing,IoT20,Fog1,Fog,IoT -> Fog,43.2,46.0,5.4,94.6,120.0,Yes
25,D18,Image Processing,IoT18,Edge1,Edge,IoT -> Edge,42.4,52.0,0.0,94.4,300.0,Yes
26,D16,Image Processing,IoT16,IoT16,IoT,IoT (local),54.0,0.0,0.0,54.0,300.0,Yes
27,D17,Data Analytics,IoT17,IoT17,IoT,IoT (local),74.0,0.0,0.0,74.0,500.0,Yes
28,D17,Network Traffic,IoT17,Fog2,Fog,IoT -> Fog,42.8,78.0,5.35,126.15,150.0,Yes
29,D3,Data Analytics,IoT3,Edge2,Edge,IoT -> Edge,56.4,47.0,0.0,103.4,500.0,Yes
30,D6,Video Processing,IoT6,Fog3,Fog,IoT -> Fog,52.0,54.0,6.5,112.5,120.0,Yes
31,D2,Video Processing,IoT2,Fog1,Fog,IoT -> Fog,47.0,84.0,11.75,142.75,120.0,No
32,D15,Network Traffic,IoT15,Cloud1,Cloud,IoT -> Cloud,29.2,100.0,0.0,129.2,150.0,Yes
33,D7,Image Processing,IoT7,Edge3,Edge,IoT -> Edge,58.8,45.0,0.0,103.8,300.0,Yes
34,D15,Data Analytics,IoT15,Edge4,Edge,IoT -> Edge,75.2,21.0,0.0,96.2,500.0,Yes
35,D17,Data Analytics,IoT17,Edge5,Edge,IoT -> Edge,68.0,62.0,0.0,130.0,500.0,Yes
36,D1,Video Processing,IoT1,Edge6,Edge,IoT -> Edge,53.6,27.0,0.0,80.6,120.0,Yes
37,D5,Image Processing,IoT5,Fog2,Fog,IoT -> Fog,48.2,78.0,12.05,138.25,300.0,Yes
38,D11,Video Processing,IoT11,Edge7,Edge,IoT -> Edge,66.0,56.0,0.0,122.0,120.0,No
39,D14,Network Traffic,IoT14,Fog3,Fog,IoT -> Fog,45.8,67.0,11.45,124.25,150.0,Yes
40,D10,Image Processing,IoT10,Edge8,Edge,IoT -> Edge,56.4,23.0,0.0,79.4,300.0,Yes
41,D15,Image Processing,IoT15,Fog1,Fog,IoT -> Fog,56.8,64.0,0.0,120.8,300.0,Yes
42,D2,Video Processing,IoT2,Fog2,Fog,IoT -> Fog,45.8,49.0,0.0,94.8,120.0,Yes
43,D7,Data Analytics,IoT7,Edge1,Edge,IoT -> Edge,40.8,53.0,0.0,93.8,500.0,Yes
44,D16,Video Processing,IoT16,Fog3,Fog,IoT -> Fog,51.2,60.0,0.0,111.2,120.0,Yes
45,D10,Video Processing,IoT10,IoT10,IoT,IoT (local),51.0,0.0,0.0,51.0,120.0,Yes
