Timestamp,Device_ID,Sensor_Data,Workload_Type,Original_Processing_Tier,CPU_Usage(%),Memory_Usage(MB),Network_Latency(ms),Jitter(ms),Task_Execution_Time(ms),QSALB_Source_Node,QSALB_Destination_Node,QSALB_Processing_Tier,QSALB_Offloading_Path,QSALB_Processing_Time(ms),QSALB_Communication_Delay(ms),QSALB_Queue_Wait(ms),QSALB_Total_Latency(ms),Deadline(ms),Deadline_Met,Transmission_Energy(J),Processing_Energy(J),Total_Energy(J)
2024-03-25 12:00:00,D14,"Temp: 32°C, Humidity: 72%",Data Analytics,Device,24,2276,29,8,189,IoT14,Fog3,Fog,IoT -> Fog,34.36,67.0,0.0,101.36,500.0,Yes,2.4449,0.0,2.4449
2024-03-25 12:00:10,D5,"Temp: 22°C, Humidity: 61%",Data Analytics,Device,57,6812,9,2,216,IoT5,Fog3,Fog,IoT -> Fog,39.27,41.0,4.91,85.18,500.0,Yes,7.3176,0.0,7.3176
2024-03-25 12:00:20,D7,"Temp: 20°C, Humidity: 33%",Image Processing,Device,26,5004,8,3,185,IoT7,Fog2,Fog,IoT -> Fog,40.89,41.0,0.0,81.89,300.0,Yes,5.3754,0.0,5.3754
2024-03-25 12:00:30,D18,"Temp: 26°C, Humidity: 45%",Data Analytics,Cloud,24,4455,16,5,72,IoT18,Edge4,Edge,IoT -> Edge,25.82,29.0,0.0,54.82,500.0,Yes,2.3928,0.3099,2.7027
2024-03-25 12:00:40,D1,"Temp: 23°C, Humidity: 46%",Image Processing,Cloud,27,5855,39,7,282,IoT1,Fog1,Fog,IoT -> Fog,63.99,76.0,0.0,139.99,300.0,Yes,6.2896,0.0,6.2896
2024-03-25 12:00:50,D8,"Temp: 25°C, Humidity: 75%",Video Processing,Device,81,2072,40,7,239,IoT8,Fog3,Fog,IoT -> Fog,43.45,77.0,10.86,131.31,120.0,No,2.2258,0.0,2.2258
2024-03-25 12:01:00,D8,"Temp: 24°C, Humidity: 72%",Network Traffic,Fog,47,6913,45,7,288,IoT8,Fog2,Fog,IoT -> Fog,63.65,82.0,7.96,153.61,150.0,No,7.4261,0.0,7.4261
2024-03-25 12:01:10,D7,"Temp: 38°C, Humidity: 52%",Image Processing,Edge,34,4098,44,2,288,IoT7,Fog1,Fog,IoT -> Fog,65.35,76.0,8.17,149.52,300.0,Yes,4.4021,0.0,4.4021
2024-03-25 12:01:20,D11,"Temp: 31°C, Humidity: 58%",Video Processing,Fog,81,6433,19,5,141,IoT11,Edge1,Edge,IoT -> Edge,51.21,32.0,0.0,83.21,120.0,Yes,3.4552,0.6145,4.0697
2024-03-25 12:01:30,D15,"Temp: 22°C, Humidity: 63%",Data Analytics,Device,32,1976,20,7,161,IoT15,Edge2,Edge,IoT -> Edge,63.43,35.0,0.0,98.43,500.0,Yes,1.0613,0.7612,1.8225
2024-03-25 12:01:40,D13,"Temp: 25°C, Humidity: 32%",Data Analytics,Fog,44,625,26,5,286,IoT13,Cloud1,Cloud,IoT -> Cloud,28.6,101.0,0.0,129.6,500.0,Yes,1.0071,0.0,1.0071
2024-03-25 12:01:50,D8,"Temp: 33°C, Humidity: 64%",Data Analytics,Cloud,58,4476,19,7,215,IoT8,Fog3,Fog,IoT -> Fog,39.09,56.0,14.66,109.74,500.0,Yes,4.8082,0.0,4.8082
2024-03-25 12:02:00,D16,"Temp: 21°C, Humidity: 62%",Image Processing,Fog,48,6590,15,3,104,IoT16,Edge6,Edge,IoT -> Edge,42.39,26.0,0.0,68.39,300.0,Yes,3.5396,0.5087,4.0482
2024-03-25 12:02:10,D14,"Temp: 36°C, Humidity: 54%",Data Analytics,Fog,14,1442,19,6,92,IoT14,Edge8,Edge,IoT -> Edge,38.28,33.0,0.0,71.28,500.0,Yes,0.7745,0.4594,1.2339
2024-03-25 12:02:20,D6,"Temp: 22°C, Humidity: 71%",Data Analytics,Cloud,79,5512,23,3,281,IoT6,Cloud1,Cloud,IoT -> Cloud,28.1,96.0,0.94,125.04,500.0,Yes,8.8816,0.0,8.8816
2024-03-25 12:02:30,D8,"Temp: 23°C, Humidity: 79%",Image Processing,Edge,51,6215,7,5,270,IoT8,Fog2,Fog,IoT -> Fog,59.67,42.0,14.92,116.59,300.0,Yes,6.6763,0.0,6.6763
2024-03-25 12:02:40,D3,"Temp: 21°C, Humidity: 65%",Image Processing,Edge,81,4501,49,4,265,IoT3,Fog1,Fog,IoT -> Fog,60.13,83.0,15.03,158.16,300.0,Yes,4.8351,0.0,4.8351
2024-03-25 12:02:50,D6,"Temp: 21°C, Humidity: 70%",Data Analytics,Fog,26,6832,33,9,249,IoT6,Fog3,Fog,IoT -> Fog,45.27,72.0,22.63,139.9,500.0,Yes,7.3391,0.0,7.3391
2024-03-25 12:03:00,D8,"Temp: 22°C, Humidity: 60%",Network Traffic,Cloud,81,3655,39,2,119,IoT8,Edge3,Edge,IoT -> Edge,51.08,49.0,0.0,100.08,150.0,Yes,1.9631,0.6129,2.5761
2024-03-25 12:03:10,D16,"Temp: 29°C, Humidity: 74%",Data Analytics,Device,37,7415,46,3,96,IoT16,IoT16,IoT,IoT (local),96.0,0.0,0.0,96.0,500.0,Yes,0.0,1.152,1.152
2024-03-25 12:03:20,D17,"Temp: 36°C, Humidity: 56%",Data Analytics,Fog,36,2201,14,6,255,IoT17,Cloud1,Cloud,IoT -> Cloud,25.5,90.0,1.7,117.2,500.0,Yes,3.5465,0.0,3.5465
2024-03-25 12:03:30,D12,"Temp: 22°C, Humidity: 57%",Network Traffic,Edge,33,3416,41,5,234,IoT12,Fog2,Fog,IoT -> Fog,51.72,76.0,19.39,147.11,150.0,Yes,3.6695,0.0,3.6695
2024-03-25 12:03:40,D11,"Temp: 29°C, Humidity: 31%",Image Processing,Device,83,3318,43,1,120,IoT11,Edge5,Edge,IoT -> Edge,52.1,52.0,0.0,104.1,300.0,Yes,1.7821,0.6252,2.4073
2024-03-25 12:03:50,D20,"Temp: 39°C, Humidity: 54%",Video Processing,Edge,88,2622,7,9,216,IoT20,Fog1,Fog,IoT -> Fog,49.01,46.0,18.38,113.39,120.0,Yes,2.8166,0.0,2.8166
2024-03-25 12:04:00,D18,"Temp: 29°C, Humidity: 38%",Image Processing,Device,69,7396,37,7,106,IoT18,Edge7,Edge,IoT -> Edge,49.67,52.0,0.0,101.67,300.0,Yes,3.9725,0.5961,4.5685
2024-03-25 12:04:10,D16,"Temp: 39°C, Humidity: 64%",Image Processing,Cloud,24,3937,39,5,54,IoT16,Edge4,Edge,IoT -> Edge,19.37,52.0,6.45,77.82,300.0,Yes,2.1146,0.2324,2.347
2024-03-25 12:04:20,D17,"Temp: 39°C, Humidity: 57%",Data Analytics,Edge,11,1939,44,3,74,IoT17,IoT17,IoT,IoT (local),74.0,0.0,0.0,74.0,500.0,Yes,0.0,0.888,0.888
2024-03-25 12:04:30,D17,"Temp: 34°C, Humidity: 69%",Network Traffic,Edge,49,2318,42,6,214,IoT17,Fog3,Fog,IoT -> Fog,38.9,78.0,24.31,141.22,150.0,Yes,2.49,0.0,2.49
2024-03-25 12:04:40,D3,"Temp: 25°C, Humidity: 37%",Data Analytics,Device,26,2153,30,9,141,IoT3,Edge1,Edge,IoT -> Edge,51.21,47.0,17.06,115.27,500.0,Yes,1.1564,0.6145,1.7709
2024-03-25 12:04:50,D6,"Temp: 21°C, Humidity: 71%",Video Processing,Cloud,89,1199,21,3,260,IoT6,Cloud1,Cloud,IoT -> Cloud,26.0,94.0,2.6,122.6,120.0,No,1.932,0.0,1.932
2024-03-25 12:05:00,D2,"Temp: 28°C, Humidity: 51%",Video Processing,Cloud,29,6122,47,7,235,IoT2,Cloud1,Cloud,IoT -> Cloud,23.5,124.0,3.13,150.63,120.0,No,9.8646,0.0,9.8646
2024-03-25 12:05:10,D15,"Temp: 35°C, Humidity: 49%",Network Traffic,Device,32,1163,25,5,292,IoT15,Cloud1,Cloud,IoT -> Cloud,29.2,100.0,4.87,134.07,150.0,Yes,1.874,0.0,1.874
2024-03-25 12:05:20,D7,"Temp: 30°C, Humidity: 74%",Image Processing,Device,45,7966,36,1,147,IoT7,Edge2,Edge,IoT -> Edge,57.92,45.0,19.3,122.22,300.0,Yes,4.2786,0.695,4.9736
2024-03-25 12:05:30,D15,"Temp: 36°C, Humidity: 77%",Data Analytics,Cloud,81,7330,6,7,188,IoT15,Fog2,Fog,IoT -> Fog,41.55,43.0,20.77,105.32,500.0,Yes,7.874,0.0,7.874
2024-03-25 12:05:40,D17,"Temp: 21°C, Humidity: 72%",Data Analytics,Device,52,5534,45,9,170,IoT17,Fog1,Fog,IoT -> Fog,38.58,84.0,19.29,141.86,500.0,Yes,5.9447,0.0,5.9447
2024-03-25 12:05:50,D1,"Temp: 31°C, Humidity: 63%",Video Processing,Fog,16,4961,12,7,134,IoT1,Edge6,Edge,IoT -> Edge,54.62,27.0,18.2,99.82,120.0,Yes,2.6646,0.6554,3.32
2024-03-25 12:06:00,D5,"Temp: 39°C, Humidity: 64%",Image Processing,Fog,74,6037,42,6,241,IoT5,Fog3,Fog,IoT -> Fog,43.81,78.0,32.86,154.67,300.0,Yes,6.4851,0.0,6.4851
2024-03-25 12:06:10,D11,"Temp: 21°C, Humidity: 72%",Video Processing,Edge,79,7847,40,8,165,IoT11,Edge8,Edge,IoT -> Edge,68.66,56.0,22.88,147.54,120.0,No,4.2147,0.8239,5.0386
2024-03-25 12:06:20,D14,"Temp: 36°C, Humidity: 55%",Network Traffic,Device,72,2126,36,1,229,IoT14,Cloud1,Cloud,IoT -> Cloud,22.9,107.0,4.58,134.48,150.0,Yes,3.4257,0.0,3.4257
2024-03-25 12:06:30,D10,"Temp: 30°C, Humidity: 76%",Image Processing,Fog,77,6850,10,5,141,IoT10,Edge3,Edge,IoT -> Edge,60.52,23.0,20.17,103.69,300.0,Yes,3.6792,0.7263,4.4055
2024-03-25 12:06:40,D15,"Temp: 32°C, Humidity: 53%",Image Processing,Cloud,11,1312,33,1,284,IoT15,Cloud1,Cloud,IoT -> Cloud,28.4,104.0,6.63,139.03,300.0,Yes,2.1141,0.0,2.1141
2024-03-25 12:06:50,D2,"Temp: 34°C, Humidity: 57%",Video Processing,Edge,26,2179,14,5,229,IoT2,Fog2,Fog,IoT -> Fog,50.61,49.0,31.63,131.24,120.0,No,2.3407,0.0,2.3407
2024-03-25 12:07:00,D7,"Temp: 38°C, Humidity: 75%",Data Analytics,Device,74,3292,41,4,102,IoT7,IoT7,IoT,IoT (local),102.0,0.0,0.0,102.0,500.0,Yes,0.0,1.224,1.224
2024-03-25 12:07:10,D16,"Temp: 29°C, Humidity: 55%",Video Processing,Fog,64,2439,22,8,256,IoT16,Cloud1,Cloud,IoT -> Cloud,25.6,100.0,6.83,132.43,120.0,No,3.93,0.0,3.93
2024-03-25 12:07:20,D10,"Temp: 39°C, Humidity: 44%",Video Processing,Cloud,22,6803,47,6,51,IoT10,IoT10,IoT,IoT (local),51.0,0.0,0.0,51.0,120.0,Yes,0.0,0.612,0.612
2024-03-25 12:07:30,D20,"Temp: 33°C, Humidity: 69%",Network Traffic,Edge,74,2214,28,2,221,IoT20,Fog3,Fog,IoT -> Fog,40.18,60.0,35.15,135.33,150.0,Yes,2.3783,0.0,2.3783
2024-03-25 12:07:40,D19,"Temp: 27°C, Humidity: 38%",Image Processing,Edge,63,4766,29,6,209,IoT19,Fog1,Fog,IoT -> Fog,47.43,65.0,29.64,142.06,300.0,Yes,5.1197,0.0,5.1197
2024-03-25 12:07:50,D11,"Temp: 26°C, Humidity: 66%",Network Traffic,Edge,68,4386,22,3,253,IoT11,Cloud1,Cloud,IoT -> Cloud,25.3,95.0,7.59,127.89,150.0,Yes,7.0673,0.0,7.0673
2024-03-25 12:08:00,D12,"Temp: 23°C, Humidity: 71%",Data Analytics,Fog,32,732,34,7,137,IoT12,Edge5,Edge,IoT -> Edge,59.48,49.0,19.82,128.3,500.0,Yes,0.3932,0.7138,1.107
2024-03-25 12:08:10,D10,"Temp: 27°C, Humidity: 56%",Image Processing,Fog,43,5093,36,7,224,IoT10,Fog3,Fog,IoT -> Fog,40.72,73.0,40.72,154.44,300.0,Yes,5.471,0.0,5.471
2024-03-25 12:08:20,D12,"Temp: 27°C, Humidity: 51%",Image Processing,Cloud,77,5948,48,5,87,IoT12,IoT12,IoT,IoT (local),87.0,0.0,0.0,87.0,300.0,Yes,0.0,1.044,1.044
2024-03-25 12:08:30,D4,"Temp: 23°C, Humidity: 31%",Network Traffic,Cloud,15,3838,7,1,174,IoT4,Fog3,Fog,IoT -> Fog,31.63,38.0,3.95,73.59,150.0,Yes,4.1229,0.0,4.1229
2024-03-25 12:08:40,D11,"Temp: 29°C, Humidity: 76%",Video Processing,Edge,14,7133,47,9,163,IoT11,Edge4,Edge,IoT -> Edge,58.46,64.0,0.0,122.46,120.0,No,3.8312,0.7015,4.5327
2024-03-25 12:08:50,D16,"Temp: 39°C, Humidity: 55%",Data Analytics,Edge,11,7047,15,4,201,IoT16,Fog2,Fog,IoT -> Fog,44.42,49.0,0.0,93.42,500.0,Yes,7.57,0.0,7.57
2024-03-25 12:09:00,D2,"Temp: 29°C, Humidity: 78%",Data Analytics,Device,54,5679,24,8,89,IoT2,Edge1,Edge,IoT -> Edge,32.32,40.0,0.0,72.32,500.0,Yes,3.0502,0.3879,3.4381
2024-03-25 12:09:10,D1,"Temp: 31°C, Humidity: 37%",Network Traffic,Cloud,74,6888,23,5,294,IoT1,Fog1,Fog,IoT -> Fog,66.71,58.0,0.0,124.71,150.0,Yes,7.3992,0.0,7.3992
2024-03-25 12:09:20,D8,"Temp: 33°C, Humidity: 79%",Network Traffic,Cloud,36,8005,41,1,217,IoT8,Fog3,Fog,IoT -> Fog,39.45,72.0,9.86,121.31,150.0,Yes,8.5991,0.0,8.5991
2024-03-25 12:09:30,D5,"Temp: 25°C, Humidity: 79%",Network Traffic,Cloud,45,4356,47,2,206,IoT5,Fog2,Fog,IoT -> Fog,45.53,79.0,5.69,130.22,150.0,Yes,4.6793,0.0,4.6793
2024-03-25 12:09:40,D9,"Temp: 34°C, Humidity: 76%",Image Processing,Fog,54,4606,19,2,85,IoT9,Edge2,Edge,IoT -> Edge,33.49,29.0,0.0,62.49,300.0,Yes,2.4739,0.4019,2.8758
2024-03-25 12:09:50,D13,"Temp: 29°C, Humidity: 70%",Video Processing,Device,12,6721,31,9,219,IoT13,Fog1,Fog,IoT -> Fog,49.69,70.0,6.21,125.91,120.0,No,7.2198,0.0,7.2198
2024-03-25 12:10:00,D7,"Temp: 28°C, Humidity: 39%",Data Analytics,Cloud,32,4884,11,3,215,IoT7,Fog3,Fog,IoT -> Fog,39.09,44.0,14.66,97.74,500.0,Yes,5.2465,0.0,5.2465
2024-03-25 12:10:10,D2,"Temp: 22°C, Humidity: 37%",Image Processing,Device,16,3046,19,2,225,IoT2,Fog2,Fog,IoT -> Fog,49.73,51.0,12.43,113.16,300.0,Yes,3.2721,0.0,3.2721
2024-03-25 12:10:20,D5,"Temp: 25°C, Humidity: 49%",Video Processing,Edge,79,741,40,3,188,IoT5,Edge6,Edge,IoT -> Edge,76.63,51.0,0.0,127.63,120.0,No,0.398,0.9195,1.3175
2024-03-25 12:10:30,D9,"Temp: 39°C, Humidity: 51%",Data Analytics,Edge,39,8169,35,7,107,IoT9,Edge8,Edge,IoT -> Edge,44.53,50.0,0.0,94.53,500.0,Yes,4.3876,0.5343,4.922
2024-03-25 12:10:40,D9,"Temp: 26°C, Humidity: 63%",Network Traffic,Fog,35,5128,18,2,158,IoT9,Edge3,Edge,IoT -> Edge,67.82,28.0,0.0,95.82,150.0,Yes,2.7543,0.8138,3.5681
2024-03-25 12:10:50,D4,"Temp: 32°C, Humidity: 77%",Network Traffic,Edge,69,4035,42,5,255,IoT4,Cloud1,Cloud,IoT -> Cloud,25.5,117.0,0.0,142.5,150.0,Yes,6.5017,0.0,6.5017
2024-03-25 12:11:00,D10,"Temp: 26°C, Humidity: 34%",Video Processing,Device,59,3174,46,8,81,IoT10,IoT10,IoT,IoT (local),81.0,0.0,0.0,81.0,120.0,Yes,0.0,0.972,0.972
2024-03-25 12:11:10,D13,"Temp: 35°C, Humidity: 68%",Network Traffic,Edge,75,4628,15,3,278,IoT13,Cloud1,Cloud,IoT -> Cloud,27.8,88.0,0.93,116.73,150.0,Yes,7.4572,0.0,7.4572
2024-03-25 12:11:20,D9,"Temp: 33°C, Humidity: 42%",Network Traffic,Cloud,57,5457,38,7,112,IoT9,Edge5,Edge,IoT -> Edge,48.63,53.0,0.0,101.63,150.0,Yes,2.931,0.5835,3.5145
2024-03-25 12:11:30,D6,"Temp: 31°C, Humidity: 46%",Network Traffic,Device,26,861,26,6,153,IoT6,Fog1,Fog,IoT -> Fog,34.72,62.0,8.68,105.4,150.0,Yes,0.9249,0.0,0.9249
2024-03-25 12:11:40,D13,"Temp: 24°C, Humidity: 50%",Data Analytics,Cloud,49,663,14,2,251,IoT13,Fog3,Fog,IoT -> Fog,45.63,46.0,22.81,114.44,500.0,Yes,0.7122,0.0,0.7122
2024-03-25 12:11:50,D17,"Temp: 38°C, Humidity: 59%",Network Traffic,Edge,57,5077,25,6,118,IoT17,Edge7,Edge,IoT -> Edge,55.29,39.0,0.0,94.29,150.0,Yes,2.7269,0.6635,3.3904
2024-03-25 12:12:00,D16,"Temp: 38°C, Humidity: 63%",Image Processing,Fog,19,6866,13,4,166,IoT16,Fog2,Fog,IoT -> Fog,36.69,47.0,13.76,97.44,300.0,Yes,7.3756,0.0,7.3756
2024-03-25 12:12:10,D14,"Temp: 34°C, Humidity: 78%",Data Analytics,Fog,39,3114,11,6,288,IoT14,Cloud1,Cloud,IoT -> Cloud,28.8,87.0,1.92,117.72,500.0,Yes,5.0177,0.0,5.0177
2024-03-25 12:12:20,D7,"Temp: 38°C, Humidity: 69%",Image Processing,Cloud,63,915,7,4,184,IoT7,Fog1,Fog,IoT -> Fog,41.75,41.0,15.66,98.41,300.0,Yes,0.9829,0.0,0.9829
2024-03-25 12:12:30,D18,"Temp: 36°C, Humidity: 56%",Image Processing,Edge,78,2145,5,2,54,IoT18,Edge4,Edge,IoT -> Edge,19.37,15.0,6.45,40.82,300.0,Yes,1.1521,0.2324,1.3845
2024-03-25 12:12:40,D14,"Temp: 26°C, Humidity: 73%",Video Processing,Fog,54,7318,33,7,238,IoT14,Fog3,Fog,IoT -> Fog,43.27,70.0,27.04,140.31,120.0,No,7.8611,0.0,7.8611
2024-03-25 12:12:50,D7,"Temp: 32°C, Humidity: 43%",Image Processing,Edge,81,3217,24,3,253,IoT7,Cloud1,Cloud,IoT -> Cloud,25.3,97.0,2.53,124.83,300.0,Yes,5.1836,0.0,5.1836
2024-03-25 12:13:00,D18,"Temp: 37°C, Humidity: 34%",Video Processing,Cloud,75,6514,19,3,180,IoT18,Edge1,Edge,IoT -> Edge,65.37,30.0,21.78,117.15,120.0,Yes,3.4987,0.7845,4.2832
2024-03-25 12:13:10,D1,"Temp: 20°C, Humidity: 43%",Image Processing,Cloud,32,3376,27,1,59,IoT1,IoT1,IoT,IoT (local),59.0,0.0,0.0,59.0,300.0,Yes,0.0,0.708,0.708
2024-03-25 12:13:20,D3,"Temp: 35°C, Humidity: 59%",Image Processing,Cloud,24,552,13,2,250,IoT3,Cloud1,Cloud,IoT -> Cloud,25.0,85.0,3.33,113.33,300.0,Yes,0.8895,0.0,0.8895
2024-03-25 12:13:30,D3,"Temp: 27°C, Humidity: 64%",Network Traffic,Device,62,6188,45,8,145,IoT3,Edge2,Edge,IoT -> Edge,57.13,61.0,19.04,137.16,150.0,Yes,3.3236,0.6855,4.0092
2024-03-25 12:13:40,D20,"Temp: 26°C, Humidity: 51%",Video Processing,Device,25,7509,32,6,244,IoT20,Fog2,Fog,IoT -> Fog,53.93,68.0,26.96,148.89,120.0,No,8.0663,0.0,8.0663
2024-03-25 12:13:50,D17,"Temp: 27°C, Humidity: 67%",Image Processing,Device,66,2613,10,2,61,IoT17,Edge6,Edge,IoT -> Edge,24.86,20.0,8.28,53.15,300.0,Yes,1.4035,0.2983,1.7018
2024-03-25 12:14:00,D5,"Temp: 24°C, Humidity: 52%",Video Processing,Edge,35,2035,41,4,286,IoT5,Cloud1,Cloud,IoT -> Cloud,28.6,115.0,4.77,148.37,120.0,No,3.2791,0.0,3.2791
2024-03-25 12:14:10,D13,"Temp: 39°C, Humidity: 56%",Video Processing,Device,56,922,5,7,246,IoT13,Cloud1,Cloud,IoT -> Cloud,24.6,82.0,4.92,111.52,120.0,Yes,1.4856,0.0,1.4856
2024-03-25 12:14:20,D12,"Temp: 25°C, Humidity: 63%",Video Processing,Edge,49,5247,34,6,251,IoT12,Fog3,Fog,IoT -> Fog,45.63,70.0,34.22,149.85,120.0,No,5.6364,0.0,5.6364
2024-03-25 12:14:30,D17,"Temp: 31°C, Humidity: 62%",Data Analytics,Cloud,86,7479,18,6,239,IoT17,Fog1,Fog,IoT -> Fog,54.23,54.0,27.11,135.35,500.0,Yes,8.0341,0.0,8.0341
2024-03-25 12:14:40,D9,"Temp: 22°C, Humidity: 46%",Video Processing,Device,41,7843,5,8,275,IoT9,Cloud1,Cloud,IoT -> Cloud,27.5,83.0,6.42,116.92,120.0,Yes,12.6376,0.0,12.6376
2024-03-25 12:14:50,D1,"Temp: 20°C, Humidity: 45%",Data Analytics,Edge,79,6336,7,9,183,IoT1,Fog2,Fog,IoT -> Fog,40.45,46.0,25.28,111.72,500.0,Yes,6.8063,0.0,6.8063
2024-03-25 12:15:00,D6,"Temp: 33°C, Humidity: 46%",Network Traffic,Cloud,18,7002,6,9,265,IoT6,Cloud1,Cloud,IoT -> Cloud,26.5,85.0,7.07,118.57,150.0,Yes,11.2825,0.0,11.2825
2024-03-25 12:15:10,D10,"Temp: 34°C, Humidity: 64%",Image Processing,Device,82,1605,19,5,247,IoT10,Fog3,Fog,IoT -> Fog,44.9,54.0,39.29,138.19,300.0,Yes,1.7241,0.0,1.7241
2024-03-25 12:15:20,D8,"Temp: 39°C, Humidity: 67%",Network Traffic,Fog,46,5733,25,8,239,IoT8,Fog1,Fog,IoT -> Fog,54.23,63.0,33.89,151.12,150.0,No,6.1585,0.0,6.1585
2024-03-25 12:15:30,D2,"Temp: 24°C, Humidity: 65%",Network Traffic,Edge,15,7183,24,5,195,IoT2,Edge8,Edge,IoT -> Edge,81.14,37.0,27.04,145.18,150.0,Yes,3.8581,0.9737,4.8318
2024-03-25 12:15:40,D3,"Temp: 31°C, Humidity: 65%",Data Analytics,Device,89,8128,47,8,234,IoT3,Cloud1,Cloud,IoT -> Cloud,23.4,125.0,7.02,155.42,500.0,Yes,13.0969,0.0,13.0969
2024-03-25 12:15:50,D18,"Temp: 34°C, Humidity: 51%",Network Traffic,Device,22,3571,22,5,209,IoT18,Fog2,Fog,IoT -> Fog,46.19,57.0,34.64,137.83,150.0,Yes,3.836,0.0,3.836
2024-03-25 12:16:00,D7,"Temp: 39°C, Humidity: 63%",Network Traffic,Cloud,79,2526,34,6,248,IoT7,Cloud1,Cloud,IoT -> Cloud,24.8,110.0,8.27,143.07,150.0,Yes,4.0702,0.0,4.0702
