trial,alpha,beta,gamma,kappa,goodness,deadline_miss_ratio,avg_latency_ms,avg_queue_length,cloud_spillover,iot_pct,edge_pct,fog_pct,cloud_pct
35,0.3,1.55,11.72,1.21,1.0462,0.068,102.04,20.0,0.0,13.2,41.6,45.2,0.0
5,0.74,1.22,12.33,0.54,1.0485,0.071,101.2,20.0,0.001,9.1,36.6,54.2,0.1
58,0.56,1.93,2.12,1.52,1.0488,0.065,101.25,20.0,0.025,10.5,40.6,46.4,2.5
85,0.75,1.65,7.44,2.18,1.0509,0.067,101.08,20.0,0.023,9.8,39.9,48.0,2.3
87,1.05,1.74,14.54,2.04,1.0515,0.071,101.2,20.0,0.007,9.5,38.8,51.0,0.7
14,0.87,1.88,10.07,3.85,1.052,0.068,101.3,20.0,0.019,10.1,41.2,46.8,1.9
43,0.72,0.35,14.1,3.64,1.0535,0.069,101.4,20.0,0.017,8.9,40.8,48.6,1.7
72,1.52,1.82,12.85,1.01,1.0541,0.069,100.91,20.0,0.023,8.6,34.9,54.2,2.3
15,0.6,1.49,3.29,2.59,1.0548,0.065,101.26,20.0,0.037,10.4,41.1,44.8,3.7
48,0.65,0.95,6.91,2.03,1.055,0.068,101.11,20.0,0.027,9.3,39.7,48.3,2.7
28,1.42,1.91,13.26,1.95,1.0552,0.07,101.03,20.0,0.02,9.1,36.7,52.2,2.0
44,1.47,1.59,12.3,1.55,1.0564,0.069,100.89,20.0,0.028,8.4,35.4,53.4,2.8
47,1.27,0.74,13.06,1.87,1.0566,0.068,100.91,20.0,0.032,8.3,35.9,52.6,3.2
30,0.97,1.31,9.53,1.34,1.0568,0.071,101.06,20.0,0.019,9.1,37.0,52.0,1.9
45,0.38,0.92,6.93,3.07,1.0576,0.07,101.93,20.0,0.016,11.7,42.3,44.4,1.6
38,0.68,0.69,14.93,4.07,1.0578,0.072,101.66,20.0,0.011,9.9,41.2,47.8,1.1
46,2.21,1.38,14.78,1.04,1.059,0.068,100.79,20.0,0.038,8.1,32.9,55.2,3.8
2,2.24,1.39,13.49,0.98,1.0604,0.068,100.78,20.0,0.041,8.1,32.9,54.9,4.1
70,0.41,1.15,4.81,3.83,1.0605,0.065,102.1,20.0,0.04,12.5,42.2,41.3,4.0
62,0.69,1.46,4.34,2.68,1.0609,0.069,101.08,20.0,0.035,10.0,40.6,45.9,3.5
78,2.41,1.74,13.58,1.66,1.0641,0.069,100.72,20.0,0.045,8.2,33.4,53.9,4.5
49,0.82,1.85,7.2,5.24,1.0652,0.068,101.64,20.0,0.042,11.4,41.7,42.7,4.2
22,1.26,0.52,14.97,3.3,1.0653,0.072,101.15,20.0,0.031,8.2,38.7,50.0,3.1
51,2.91,1.86,12.88,1.41,1.0654,0.068,100.69,20.0,0.052,8.1,32.5,54.2,5.2
83,2.43,1.74,12.35,1.97,1.066,0.069,100.7,20.0,0.049,8.2,33.7,53.2,4.9
12,0.33,0.54,2.41,2.03,1.0685,0.067,101.51,20.0,0.054,10.7,41.4,42.5,5.4
88,1.96,0.86,14.74,3.45,1.0689,0.07,100.88,20.0,0.049,8.2,36.1,50.8,4.9
27,0.87,1.32,2.56,2.89,1.0691,0.065,100.82,20.0,0.07,9.3,39.0,44.7,7.0
68,2.0,0.11,12.44,2.15,1.0692,0.068,100.73,20.0,0.059,7.3,33.5,53.3,5.9
53,1.2,1.97,4.71,4.81,1.07,0.067,100.91,20.0,0.063,9.4,40.0,44.3,6.3
54,1.42,0.9,14.4,5.97,1.0701,0.071,101.02,20.0,0.046,8.7,39.6,47.1,4.6
61,1.32,1.21,8.32,5.64,1.0704,0.067,100.88,20.0,0.064,8.7,39.4,45.5,6.4
100,1.35,1.2,10.17,3.06,1.0706,0.071,101.01,20.0,0.047,8.5,38.4,48.4,4.7
10,2.51,1.28,13.06,3.68,1.0709,0.067,100.68,20.0,0.067,8.1,35.1,50.1,6.7
31,2.31,1.12,11.9,3.42,1.0714,0.067,100.68,20.0,0.068,8.1,35.1,50.0,6.8
94,2.25,1.37,6.1,0.88,1.0714,0.067,100.58,20.0,0.069,8.1,31.9,53.1,6.9
89,2.82,0.32,14.59,1.48,1.0717,0.069,100.74,20.0,0.06,7.2,32.4,54.4,6.0
8,2.56,1.25,12.3,4.51,1.0724,0.066,100.67,20.0,0.074,8.2,35.4,49.0,7.4
59,1.83,1.38,4.29,1.16,1.0725,0.066,100.5,20.0,0.076,8.2,32.5,51.7,7.6
40,1.08,1.22,4.22,1.71,1.0732,0.07,100.84,20.0,0.058,8.8,36.5,48.9,5.8
50,1.7,0.2,14.99,5.1,1.0732,0.069,100.94,20.0,0.061,7.7,38.7,47.5,6.1
74,1.95,0.6,11.38,3.53,1.0734,0.067,100.78,20.0,0.071,7.8,35.6,49.5,7.1
